question_id	correct_result	correct_explanation_content	correct_explanation_style
RW_594	yes	not_applicable	not_applicable
RW_597	yes	not_applicable	not_applicable
RW_598	yes	not_applicable	not_applicable
RW_599	yes	not_applicable	not_applicable
RW_600	yes	not_applicable	not_applicable
RW_601	yes	not_applicable	not_applicable
RW_602	yes	not_applicable	not_applicable
RW_603	yes	not_applicable	not_applicable
RW_604	yes	not_applicable	not_applicable
RW_605	yes	not_applicable	not_applicable
RW_606	yes	yes	yes
RW_607	yes	not_applicable	not_applicable
RW_608	yes	not_applicable	not_applicable
RW_609	yes	yes	yes
RW_610	yes	not_applicable	not_applicable
RW_611	yes	yes	yes
RW_612	yes	not_applicable	not_applicable
RW_613	yes	yes	yes
RW_615	yes	yes	yes
RW_616	yes	yes	yes
RW_617	yes	yes	yes
RW_618	yes	yes	yes
RW_619	yes	yes	yes
RW_620	yes	yes	yes
RW_621	yes	yes	yes
RW_622	yes	yes	yes
RW_623	yes	yes	yes
RW_624	yes	yes	yes
RW_625	yes	not_applicable	not_applicable
RW_626	yes	not_applicable	not_applicable
RW_627	yes	not_applicable	not_applicable
RW_628	yes	yes	yes
RW_629	yes	not_applicable	not_applicable
RW_630	yes	yes	yes
RW_632	yes	yes	yes
RW_633	yes	yes	yes
RW_635	yes	yes	yes
RW_637	no	yes	yes
RW_638	yes	not_applicable	not_applicable
RW_640	yes	not_applicable	not_applicable
RW_641	yes	not_applicable	not_applicable
RW_642	yes	yes	yes
RW_643	yes	yes	yes
RW_644	yes	yes	yes
RW_645	yes	yes	yes
RW_646	yes	not_applicable	not_applicable
RW_647	no	not_applicable	not_applicable
RW_648	yes	yes	yes
RW_650	yes	not_applicable	not_applicable
RW_651	no	yes	yes
RW_652	yes	not_applicable	not_applicable
RW_653	yes	not_applicable	not_applicable
RW_654	yes	not_applicable	not_applicable
RW_655	yes	not_applicable	not_applicable
RW_656	yes	not_applicable	not_applicable
RW_657	yes	not_applicable	not_applicable
RW_658	yes	not_applicable	not_applicable
RW_659	no	not_applicable	not_applicable
RW_660	yes	not_applicable	not_applicable
RW_661	yes	not_applicable	not_applicable
RW_662	yes	yes	yes
RW_663	yes	yes	yes
RW_664	yes	yes	yes
RW_665	yes	yes	yes
RW_666	yes	not_applicable	not_applicable
RW_667	yes	yes	yes
RW_668	yes	yes	yes
RW_669	yes	yes	yes
RW_670	yes	not_applicable	not_applicable
RW_671	yes	not_applicable	not_applicable
RW_672	yes	not_applicable	not_applicable
RW_673	yes	yes	yes
RW_674	yes	not_applicable	not_applicable
RW_675	yes	yes	yes
RW_676	yes	yes	yes
RW_677	yes	yes	yes
RW_678	yes	yes	yes
RW_679	yes	yes	yes
RW_680	yes	not_applicable	not_applicable
RW_681	yes	not_applicable	not_applicable
RW_682	yes	not_applicable	not_applicable
RW_683	yes	not_applicable	not_applicable
RW_685	yes	not_applicable	not_applicable
RW_686	yes	not_applicable	not_applicable
RW_687	yes	not_applicable	not_applicable
RW_689	yes	yes	yes
RW_691	yes	not_applicable	not_applicable
RW_692	yes	yes	yes
RW_693	yes	not_applicable	not_applicable
RW_694	yes	not_applicable	not_applicable
RW_695	yes	not_applicable	not_applicable
RW_696	yes	yes	yes
RW_697	yes	not_applicable	not_applicable
RW_698	yes	yes	yes
RW_699	yes	yes	yes
RW_700	yes	not_applicable	not_applicable
RW_701	yes	not_applicable	not_applicable
RW_702	yes	not_applicable	not_applicable
RW_703	yes	not_applicable	not_applicable
RW_704	no	not_applicable	not_applicable
RW_705	no	yes	yes
RW_707	yes	not_applicable	not_applicable
RW_708	yes	not_applicable	not_applicable
RW_709	yes	not_applicable	not_applicable
RW_710	yes	yes	yes
RW_711	yes	yes	yes
RW_712	yes	not_applicable	not_applicable
RW_713	yes	not_applicable	not_applicable
RW_714	yes	not_applicable	not_applicable
RW_715	yes	not_applicable	not_applicable
RW_716	yes	yes	yes
RW_717	yes	yes	yes
RW_718	yes	not_applicable	not_applicable
RW_719	yes	not_applicable	not_applicable
RW_720	yes	not_applicable	not_applicable
RW_721	yes	not_applicable	not_applicable
RW_722	yes	not_applicable	not_applicable
RW_725	yes	not_applicable	not_applicable
RW_726	no	not_applicable	not_applicable
RW_727	yes	not_applicable	not_applicable
RW_728	yes	yes	yes
RW_729	no	yes	yes
RW_730	yes	yes	yes
RW_731	yes	yes	yes
RW_732	yes	yes	yes
RW_733	no	not_applicable	not_applicable
RW_734	yes	yes	yes
RW_735	yes	yes	yes
RW_736	yes	yes	yes
RW_739	yes	yes	yes
RW_740	yes	yes	yes
RW_741	no	not_applicable	not_applicable
RW_742	yes	yes	yes
RW_743	no	yes	yes
RW_744	yes	not_applicable	not_applicable
RW_745	no	no	yes
RW_746	yes	yes	yes
RW_747	yes	yes	yes
RW_748	yes	yes	yes
RW_749	yes	yes	yes
RW_750	yes	yes	yes
RW_751	yes	yes	yes
RW_752	yes	yes	yes
RW_753	yes	yes	yes
RW_754	yes	yes	yes
RW_755	yes	yes	yes
RW_756	yes	yes	yes
RW_757	yes	yes	yes
RW_758	yes	yes	yes
RW_759	yes	yes	yes
RW_760	yes	yes	yes
RW_761	yes	yes	yes
RW_762	yes	yes	yes
RW_763	yes	yes	yes
RW_764	yes	yes	yes
RW_765	no	yes	yes
RW_768	yes	yes	yes
RW_769	yes	yes	yes
RW_770	yes	not_applicable	not_applicable
RW_771	yes	not_applicable	not_applicable
RW_772	yes	yes	yes
RW_773	yes	not_applicable	not_applicable
RW_774	yes	not_applicable	not_applicable
RW_775	no	not_applicable	not_applicable
RW_776	yes	not_applicable	not_applicable
RW_777	yes	not_applicable	not_applicable
RW_778	yes	not_applicable	not_applicable
RW_779	yes	not_applicable	not_applicable
RW_780	yes	yes	yes
RW_781	yes	not_applicable	not_applicable
RW_782	yes	not_applicable	not_applicable
RW_783	yes	not_applicable	not_applicable
RW_784	yes	not_applicable	not_applicable
RW_785	yes	not_applicable	not_applicable
RW_786	yes	not_applicable	not_applicable
RW_790	yes	not_applicable	not_applicable
RW_791	yes	not_applicable	not_applicable
RW_792	yes	not_applicable	not_applicable
RW_793	yes	yes	yes
RW_794	yes	not_applicable	not_applicable
RW_795	yes	not_applicable	not_applicable
RW_796	yes	not_applicable	not_applicable
RW_798	yes	not_applicable	not_applicable
RW_799	yes	yes	yes
RW_800	yes	not_applicable	not_applicable
RW_801	yes	not_applicable	not_applicable
RW_803	yes	not_applicable	not_applicable
RW_805	yes	not_applicable	not_applicable
RW_806	yes	yes	yes
RW_807	yes	not_applicable	not_applicable
RW_809	yes	not_applicable	not_applicable
RW_810	yes	yes	yes
RW_811	no	not_applicable	not_applicable
RW_812	yes	yes	yes
RW_813	yes	not_applicable	not_applicable
RW_814	yes	not_applicable	not_applicable
RW_816	yes	not_applicable	not_applicable
RW_817	yes	yes	yes
RW_818	yes	not_applicable	not_applicable
RW_819	yes	not_applicable	not_applicable
RW_820	no	not_applicable	not_applicable
RW_821	no	not_applicable	not_applicable
RW_822	yes	not_applicable	not_applicable
RW_823	yes	not_applicable	not_applicable
RW_824	yes	not_applicable	not_applicable
RW_825	yes	yes	yes
RW_826	yes	not_applicable	not_applicable
RW_827	yes	not_applicable	not_applicable
RW_828	yes	not_applicable	not_applicable
RW_829	yes	not_applicable	not_applicable
RW_830	yes	not_applicable	not_applicable
RW_831	yes	not_applicable	not_applicable
RW_832	no	no	yes
RW_833	yes	not_applicable	not_applicable
RW_834	yes	yes	yes
RW_835	yes	yes	yes
RW_836	no	not_applicable	not_applicable
RW_837	no	not_applicable	not_applicable
RW_838	no	not_applicable	not_applicable
RW_839	no	not_applicable	not_applicable
RW_840	no	not_applicable	not_applicable
RW_841	yes	yes	yes
RW_842	yes	yes	yes
RW_843	yes	yes	yes
RW_844	yes	yes	yes
RW_845	yes	yes	yes
RW_847	yes	yes	yes
RW_848	yes	not_applicable	not_applicable
RW_849	yes	not_applicable	not_applicable
RW_850	yes	yes	yes
RW_852	yes	yes	yes
RW_853	yes	yes	yes
RW_854	yes	yes	yes
RW_855	yes	yes	yes
RW_856	yes	not_applicable	not_applicable
RW_857	yes	not_applicable	not_applicable
RW_858	yes	yes	yes
RW_859	yes	not_applicable	not_applicable
RW_860	yes	not_applicable	not_applicable
RW_861	yes	not_applicable	not_applicable
RW_862	yes	not_applicable	not_applicable
RW_863	yes	not_applicable	not_applicable
RW_864	yes	yes	yes
RW_865	yes	not_applicable	not_applicable
RW_866	yes	yes	yes
RW_867	yes	not_applicable	not_applicable
RW_868	yes	not_applicable	not_applicable
RW_869	yes	not_applicable	not_applicable
RW_870	yes	not_applicable	not_applicable
RW_871	yes	not_applicable	not_applicable
RW_872	yes	not_applicable	not_applicable
RW_873	yes	not_applicable	not_applicable
RW_874	yes	not_applicable	not_applicable
RW_875	yes	not_applicable	not_applicable
RW_877	yes	yes	yes
RW_878	yes	yes	yes
RW_879	yes	yes	yes
RW_880	no	not_applicable	not_applicable
RW_881	no	not_applicable	not_applicable
RW_882	yes	yes	yes
RW_883	yes	not_applicable	not_applicable
RW_884	yes	yes	yes
RW_885	yes	yes	yes
RW_886	yes	not_applicable	not_applicable
RW_887	yes	yes	yes
RW_888	yes	not_applicable	not_applicable
RW_889	yes	not_applicable	not_applicable
RW_890	yes	not_applicable	not_applicable
RW_892	no	yes	yes
RW_893	no	not_applicable	not_applicable
RW_894	yes	not_applicable	not_applicable
RW_895	yes	yes	yes
RW_896	yes	yes	yes
RW_897	yes	yes	yes
RW_898	no	not_applicable	not_applicable
RW_899	yes	yes	yes
RW_900	yes	not_applicable	not_applicable
RW_901	yes	not_applicable	not_applicable
RW_902	yes	not_applicable	not_applicable
RW_903	yes	not_applicable	not_applicable
RW_904	yes	not_applicable	not_applicable
RW_905	yes	not_applicable	not_applicable
RW_906	yes	not_applicable	not_applicable
RW_907	yes	not_applicable	not_applicable
RW_908	yes	yes	yes
RW_909	yes	not_applicable	not_applicable
RW_910	yes	not_applicable	not_applicable
RW_911	yes	not_applicable	not_applicable
RW_912	yes	not_applicable	not_applicable
RW_913	yes	not_applicable	not_applicable
RW_915	yes	yes	yes
RW_916	yes	yes	yes
RW_917	no	not_applicable	not_applicable
RW_919	yes	yes	yes
RW_920	yes	yes	yes
RW_921	yes	yes	yes
RW_922	yes	yes	yes
RW_923	yes	yes	yes
RW_924	yes	yes	yes
RW_925	yes	yes	yes
RW_927	yes	yes	yes
RW_928	yes	yes	yes
RW_929	yes	yes	yes
RW_930	yes	yes	yes
RW_931	yes	yes	yes
RW_932	yes	yes	yes
RW_934	yes	yes	yes
RW_935	no	not_applicable	not_applicable
RW_941	yes	not_applicable	not_applicable
RW_942	yes	not_applicable	not_applicable
RW_943	yes	not_applicable	not_applicable
RW_944	yes	not_applicable	not_applicable
RW_945	yes	yes	yes
RW_946	yes	yes	yes
RW_947	no	not_applicable	not_applicable
RW_948	yes	not_applicable	not_applicable
RW_949	yes	not_applicable	not_applicable
RW_950	yes	yes	yes
RW_951	yes	not_applicable	not_applicable
RW_953	yes	yes	yes
RW_954	yes	not_applicable	not_applicable
RW_955	yes	not_applicable	not_applicable
RW_956	yes	not_applicable	not_applicable
RW_957	yes	not_applicable	not_applicable
RW_958	yes	yes	yes
RW_959	yes	yes	yes
RW_960	yes	yes	yes
RW_961	yes	yes	yes
RW_962	yes	yes	yes
RW_963	yes	yes	yes
RW_964	no	not_applicable	not_applicable
RW_965	yes	yes	yes
RW_966	yes	yes	yes
RW_967	yes	yes	yes
RW_968	yes	yes	yes
RW_969	no	not_applicable	not_applicable
RW_972	yes	yes	yes
RW_973	yes	not_applicable	not_applicable
RW_974	yes	not_applicable	not_applicable
RW_975	yes	not_applicable	not_applicable
RW_979	yes	yes	yes
RW_980	yes	yes	yes
RW_981	yes	yes	yes
RW_982	yes	not_applicable	not_applicable
RW_983	yes	not_applicable	not_applicable
RW_985	yes	not_applicable	not_applicable
RW_986	yes	not_applicable	not_applicable
RW_987	yes	not_applicable	not_applicable
RW_988	yes	yes	yes
RW_989	yes	yes	yes
RW_990	yes	not_applicable	not_applicable
RW_992	yes	yes	yes
RW_994	yes	yes	yes
RW_996	yes	not_applicable	not_applicable
RW_997	yes	yes	yes
RW_998	yes	yes	yes
RW_999	yes	not_applicable	not_applicable
RW_1000	yes	yes	yes
RW_1001	yes	yes	yes
RW_1002	yes	not_applicable	not_applicable
RW_1003	yes	not_applicable	not_applicable
RW_1004	yes	not_applicable	not_applicable
RW_1005	yes	not_applicable	not_applicable
RW_1006	yes	not_applicable	not_applicable
RW_1007	yes	not_applicable	not_applicable
RW_1008	yes	not_applicable	not_applicable
RW_1009	yes	not_applicable	not_applicable
RW_1010	yes	yes	yes
RW_1011	yes	not_applicable	not_applicable
RW_1012	no	not_applicable	not_applicable
RW_1013	yes	not_applicable	not_applicable
RW_1014	yes	yes	yes
