question_id	correct_result	correct_explanation_content	correct_explanation_style
RW_594	yes	not_applicable	not_applicable
RW_597	yes	not_applicable	not_applicable
RW_598	yes	not_applicable	not_applicable
RW_599	yes	not_applicable	not_applicable
RW_600	yes	not_applicable	not_applicable
RW_601	yes	not_applicable	not_applicable
RW_602	yes	not_applicable	not_applicable
RW_603	yes	not_applicable	not_applicable
RW_604	yes	not_applicable	not_applicable
RW_605	yes	not_applicable	not_applicable
RW_606	no	not_applicable	not_applicable
RW_607	yes	not_applicable	not_applicable
RW_608	yes	not_applicable	not_applicable
RW_609	yes	yes	no
RW_610	yes	not_applicable	not_applicable
RW_611	yes	yes	no
RW_612	yes	not_applicable	not_applicable
RW_613	no	not_applicable	not_applicable
RW_615	yes	not_applicable	not_applicable
RW_616	yes	yes	no
RW_617	yes	yes	no
RW_618	yes	yes	yes
RW_619	yes	yes	no
RW_620	yes	yes	no
RW_621	yes	yes	yes
RW_622	yes	yes	yes
RW_623	yes	yes	yes
RW_624	yes	yes	yes
RW_625	yes	not_applicable	not_applicable
RW_626	yes	not_applicable	not_applicable
RW_627	yes	not_applicable	not_applicable
RW_628	yes	yes	no
RW_629	yes	not_applicable	not_applicable
RW_630	yes	not_applicable	not_applicable
RW_632	yes	yes	no
RW_633	yes	yes	no
RW_635	yes	yes	no
RW_637	yes	not_applicable	not_applicable
RW_638	yes	not_applicable	not_applicable
RW_640	yes	not_applicable	not_applicable
RW_641	yes	not_applicable	not_applicable
RW_642	no	yes	no
RW_643	yes	yes	yes
RW_644	yes	yes	yes
RW_645	yes	yes	no
RW_646	yes	not_applicable	not_applicable
RW_647	no	not_applicable	not_applicable
RW_648	yes	yes	no
RW_650	no	yes	no
RW_651	yes	not_applicable	not_applicable
RW_652	yes	not_applicable	not_applicable
RW_653	yes	not_applicable	not_applicable
RW_654	yes	yes	no
RW_655	yes	not_applicable	not_applicable
RW_656	yes	not_applicable	not_applicable
RW_657	yes	not_applicable	not_applicable
RW_658	yes	not_applicable	not_applicable
RW_659	yes	yes	no
RW_660	yes	not_applicable	not_applicable
RW_661	yes	not_applicable	not_applicable
RW_662	yes	yes	no
RW_663	no	not_applicable	not_applicable
RW_664	no	no	yes
RW_665	no	not_applicable	not_applicable
RW_666	yes	not_applicable	not_applicable
RW_667	yes	yes	no
RW_668	yes	yes	yes
RW_669	yes	yes	no
RW_670	yes	not_applicable	not_applicable
RW_671	yes	not_applicable	not_applicable
RW_672	yes	not_applicable	not_applicable
RW_673	yes	yes	no
RW_674	yes	not_applicable	not_applicable
RW_675	yes	yes	yes
RW_676	yes	yes	no
RW_677	yes	yes	yes
RW_678	yes	yes	no
RW_679	yes	yes	no
RW_680	yes	not_applicable	not_applicable
RW_681	yes	not_applicable	not_applicable
RW_682	yes	not_applicable	not_applicable
RW_683	yes	not_applicable	not_applicable
RW_685	yes	not_applicable	not_applicable
RW_686	yes	not_applicable	not_applicable
RW_687	yes	not_applicable	not_applicable
RW_689	yes	yes	no
RW_691	yes	not_applicable	not_applicable
RW_692	yes	yes	no
RW_693	yes	not_applicable	not_applicable
RW_694	no	yes	yes
RW_695	yes	not_applicable	not_applicable
RW_696	yes	yes	no
RW_697	yes	not_applicable	not_applicable
RW_698	yes	yes	no
RW_699	yes	yes	no
RW_700	yes	not_applicable	not_applicable
RW_701	yes	not_applicable	not_applicable
RW_702	no	yes	yes
RW_703	yes	not_applicable	not_applicable
RW_704	no	not_applicable	not_applicable
RW_705	no	no	no
RW_707	yes	not_applicable	not_applicable
RW_708	yes	not_applicable	not_applicable
RW_709	yes	not_applicable	not_applicable
RW_710	yes	yes	no
RW_711	yes	yes	no
RW_712	yes	not_applicable	not_applicable
RW_713	yes	not_applicable	not_applicable
RW_714	yes	not_applicable	not_applicable
RW_715	yes	not_applicable	not_applicable
RW_716	yes	yes	no
RW_717	no	not_applicable	not_applicable
RW_718	yes	not_applicable	not_applicable
RW_719	yes	not_applicable	not_applicable
RW_720	yes	not_applicable	not_applicable
RW_721	no	yes	no
RW_722	yes	not_applicable	not_applicable
RW_725	no	yes	no
RW_726	no	not_applicable	not_applicable
RW_727	no	yes	no
RW_728	yes	yes	yes
RW_729	no	yes	yes
RW_730	yes	yes	no
RW_731	yes	yes	no
RW_732	yes	yes	yes
RW_733	no	not_applicable	not_applicable
RW_734	yes	yes	yes
RW_735	yes	yes	no
RW_736	yes	yes	no
RW_739	no	not_applicable	not_applicable
RW_740	no	not_applicable	not_applicable
RW_741	no	not_applicable	not_applicable
RW_742	no	not_applicable	not_applicable
RW_743	yes	not_applicable	not_applicable
RW_744	yes	not_applicable	not_applicable
RW_745	no	no	no
RW_746	partial	yes	no
RW_747	partial	yes	no
RW_748	partial	yes	no
RW_749	partial	yes	no
RW_750	partial	yes	no
RW_751	partial	yes	no
RW_752	partial	yes	no
RW_753	partial	yes	no
RW_754	partial	yes	yes
RW_755	no	not_applicable	not_applicable
RW_756	partial	yes	no
RW_757	partial	yes	no
RW_758	partial	yes	no
RW_759	partial	yes	yes
RW_760	partial	yes	no
RW_761	partial	yes	yes
RW_762	yes	yes	no
RW_763	yes	yes	no
RW_764	no	yes	no
RW_765	no	yes	no
RW_768	no	not_applicable	not_applicable
RW_769	no	not_applicable	not_applicable
RW_770	yes	not_applicable	not_applicable
RW_771	yes	not_applicable	not_applicable
RW_772	yes	yes	no
RW_773	yes	not_applicable	not_applicable
RW_774	yes	not_applicable	not_applicable
RW_775	yes	yes	no
RW_776	yes	not_applicable	not_applicable
RW_777	yes	not_applicable	not_applicable
RW_778	yes	not_applicable	not_applicable
RW_779	yes	not_applicable	not_applicable
RW_780	yes	yes	yes
RW_781	yes	not_applicable	not_applicable
RW_782	yes	not_applicable	not_applicable
RW_783	yes	not_applicable	not_applicable
RW_784	yes	not_applicable	not_applicable
RW_785	yes	not_applicable	not_applicable
RW_786	yes	not_applicable	not_applicable
RW_790	yes	not_applicable	not_applicable
RW_791	yes	not_applicable	not_applicable
RW_792	yes	not_applicable	not_applicable
RW_793	yes	yes	no
RW_794	yes	not_applicable	not_applicable
RW_795	yes	not_applicable	not_applicable
RW_796	yes	not_applicable	not_applicable
RW_798	yes	not_applicable	not_applicable
RW_799	yes	yes	no
RW_800	yes	not_applicable	not_applicable
RW_801	yes	not_applicable	not_applicable
RW_803	yes	not_applicable	not_applicable
RW_805	yes	not_applicable	not_applicable
RW_806	no	yes	no
RW_807	yes	not_applicable	not_applicable
RW_809	yes	not_applicable	not_applicable
RW_810	yes	yes	yes
RW_811	yes	yes	no
RW_812	yes	yes	yes
RW_813	yes	not_applicable	not_applicable
RW_814	yes	not_applicable	not_applicable
RW_816	yes	not_applicable	not_applicable
RW_817	no	not_applicable	not_applicable
RW_818	yes	not_applicable	not_applicable
RW_819	yes	not_applicable	not_applicable
RW_820	yes	yes	no
RW_821	yes	yes	no
RW_822	yes	not_applicable	not_applicable
RW_823	yes	not_applicable	not_applicable
RW_824	yes	not_applicable	not_applicable
RW_825	no	not_applicable	not_applicable
RW_826	yes	not_applicable	not_applicable
RW_827	partial	yes	no
RW_828	yes	not_applicable	not_applicable
RW_829	yes	not_applicable	not_applicable
RW_830	yes	not_applicable	not_applicable
RW_831	yes	not_applicable	not_applicable
RW_832	no	no	no
RW_833	yes	not_applicable	not_applicable
RW_834	yes	yes	no
RW_835	yes	yes	no
RW_836	no	not_applicable	not_applicable
RW_837	no	not_applicable	not_applicable
RW_838	no	not_applicable	not_applicable
RW_839	no	not_applicable	not_applicable
RW_840	no	not_applicable	not_applicable
RW_841	yes	yes	no
RW_842	no	not_applicable	not_applicable
RW_843	yes	yes	yes
RW_844	no	not_applicable	not_applicable
RW_845	yes	yes	yes
RW_847	yes	yes	no
RW_848	yes	not_applicable	not_applicable
RW_849	yes	not_applicable	not_applicable
RW_850	yes	not_applicable	not_applicable
RW_852	yes	yes	no
RW_853	yes	yes	no
RW_854	no	yes	no
RW_855	no	yes	no
RW_856	yes	not_applicable	not_applicable
RW_857	yes	not_applicable	not_applicable
RW_858	yes	yes	no
RW_859	no	yes	no
RW_860	yes	not_applicable	not_applicable
RW_861	yes	not_applicable	not_applicable
RW_862	yes	not_applicable	not_applicable
RW_863	yes	not_applicable	not_applicable
RW_864	yes	yes	no
RW_865	yes	not_applicable	not_applicable
RW_866	yes	yes	no
RW_867	yes	not_applicable	not_applicable
RW_868	yes	not_applicable	not_applicable
RW_869	yes	not_applicable	not_applicable
RW_870	yes	not_applicable	not_applicable
RW_871	yes	not_applicable	not_applicable
RW_872	yes	not_applicable	not_applicable
RW_873	yes	not_applicable	not_applicable
RW_874	yes	not_applicable	not_applicable
RW_875	yes	not_applicable	not_applicable
RW_877	no	yes	no
RW_878	yes	yes	no
RW_879	yes	yes	no
RW_880	no	not_applicable	not_applicable
RW_881	no	not_applicable	not_applicable
RW_882	yes	yes	no
RW_883	yes	not_applicable	not_applicable
RW_884	yes	not_applicable	not_applicable
RW_885	yes	yes	no
RW_886	no	no	no
RW_887	yes	yes	no
RW_888	yes	not_applicable	not_applicable
RW_889	yes	not_applicable	not_applicable
RW_890	yes	not_applicable	not_applicable
RW_892	partial	no	yes
RW_893	no	not_applicable	not_applicable
RW_894	no	no	yes
RW_895	yes	yes	yes
RW_896	yes	yes	no
RW_897	no	not_applicable	not_applicable
RW_898	no	not_applicable	not_applicable
RW_899	yes	yes	no
RW_900	no	yes	no
RW_901	yes	not_applicable	not_applicable
RW_902	yes	not_applicable	not_applicable
RW_903	yes	not_applicable	not_applicable
RW_904	yes	not_applicable	not_applicable
RW_905	no	yes	no
RW_906	yes	not_applicable	not_applicable
RW_907	yes	not_applicable	not_applicable
RW_908	yes	yes	no
RW_909	yes	not_applicable	not_applicable
RW_910	yes	not_applicable	not_applicable
RW_911	yes	not_applicable	not_applicable
RW_912	yes	not_applicable	not_applicable
RW_913	yes	not_applicable	not_applicable
RW_915	yes	yes	no
RW_916	yes	yes	no
RW_917	no	not_applicable	not_applicable
RW_919	yes	yes	yes
RW_920	yes	yes	yes
RW_921	yes	yes	no
RW_922	yes	yes	yes
RW_923	yes	yes	yes
RW_924	yes	yes	no
RW_925	no	not_applicable	not_applicable
RW_927	no	not_applicable	not_applicable
RW_928	yes	yes	yes
RW_929	yes	yes	no
RW_930	yes	yes	no
RW_931	no	not_applicable	not_applicable
RW_932	yes	yes	yes
RW_934	yes	yes	no
RW_935	no	not_applicable	not_applicable
RW_941	yes	not_applicable	not_applicable
RW_942	yes	not_applicable	not_applicable
RW_943	yes	not_applicable	not_applicable
RW_944	yes	not_applicable	not_applicable
RW_945	yes	yes	yes
RW_946	yes	yes	yes
RW_947	no	not_applicable	not_applicable
RW_948	yes	not_applicable	not_applicable
RW_949	yes	not_applicable	not_applicable
RW_950	no	not_applicable	not_applicable
RW_951	yes	not_applicable	not_applicable
RW_953	yes	yes	yes
RW_954	yes	not_applicable	not_applicable
RW_955	no	yes	no
RW_956	yes	not_applicable	not_applicable
RW_957	yes	not_applicable	not_applicable
RW_958	yes	yes	yes
RW_959	no	not_applicable	not_applicable
RW_960	yes	yes	no
RW_961	no	not_applicable	not_applicable
RW_962	no	not_applicable	not_applicable
RW_963	yes	yes	no
RW_964	no	not_applicable	not_applicable
RW_965	yes	yes	no
RW_966	yes	yes	no
RW_967	yes	yes	no
RW_968	yes	yes	yes
RW_969	no	not_applicable	not_applicable
RW_972	no	not_applicable	not_applicable
RW_973	yes	not_applicable	not_applicable
RW_974	yes	not_applicable	not_applicable
RW_975	yes	not_applicable	not_applicable
RW_979	yes	yes	yes
RW_980	yes	not_applicable	not_applicable
RW_981	yes	yes	no
RW_982	yes	not_applicable	not_applicable
RW_983	yes	not_applicable	not_applicable
RW_985	yes	not_applicable	not_applicable
RW_986	yes	not_applicable	not_applicable
RW_987	yes	not_applicable	not_applicable
RW_988	no	not_applicable	not_applicable
RW_989	no	not_applicable	not_applicable
RW_990	yes	not_applicable	not_applicable
RW_992	no	not_applicable	not_applicable
RW_994	no	not_applicable	not_applicable
RW_996	yes	not_applicable	not_applicable
RW_997	yes	yes	no
RW_998	yes	not_applicable	not_applicable
RW_999	yes	not_applicable	not_applicable
RW_1000	no	not_applicable	not_applicable
RW_1001	no	not_applicable	not_applicable
RW_1002	yes	not_applicable	not_applicable
RW_1003	yes	not_applicable	not_applicable
RW_1004	no	yes	no
RW_1005	yes	not_applicable	not_applicable
RW_1006	yes	not_applicable	not_applicable
RW_1007	yes	not_applicable	not_applicable
RW_1008	yes	not_applicable	not_applicable
RW_1009	yes	not_applicable	not_applicable
RW_1010	yes	yes	yes
RW_1011	yes	not_applicable	not_applicable
RW_1012	yes	yes	no
RW_1013	yes	not_applicable	not_applicable
RW_1014	no	not_applicable	not_applicable
