question_id	scope
RW_798	out_of_scope_or_unclear
RW_799	supported
RW_800	out_of_scope_or_unclear
RW_801	out_of_scope_or_unclear
RW_803	out_of_scope_or_unclear
RW_805	out_of_scope_or_unclear
RW_806	not_supported
RW_807	out_of_scope_or_unclear
RW_809	not_supported
RW_810	supported
RW_811	supported
RW_812	supported
RW_813	out_of_scope_or_unclear
RW_814	out_of_scope_or_unclear
RW_816	out_of_scope_or_unclear
RW_817	supported
RW_818	out_of_scope_or_unclear
RW_819	out_of_scope_or_unclear
RW_820	supported
RW_821	supported
RW_822	out_of_scope_or_unclear
RW_823	out_of_scope_or_unclear
RW_824	not_supported
RW_825	supported
RW_826	not_supported
RW_827	not_supported
RW_828	out_of_scope_or_unclear
RW_829	out_of_scope_or_unclear
RW_830	out_of_scope_or_unclear
RW_831	out_of_scope_or_unclear
RW_832	supported
RW_833	out_of_scope_or_unclear
RW_834	supported
RW_835	supported
RW_836	supported
RW_837	supported
RW_838	supported
RW_839	supported
RW_840	supported
RW_841	supported
RW_842	supported
RW_843	supported
RW_844	supported
RW_845	supported
RW_847	supported
RW_848	out_of_scope_or_unclear
RW_849	out_of_scope_or_unclear
RW_850	not_supported
RW_852	supported
RW_853	supported
RW_854	not_supported
RW_855	not_supported
RW_856	out_of_scope_or_unclear
RW_857	not_supported
RW_858	supported
RW_859	not_supported
RW_860	not_supported
RW_861	not_supported
RW_862	out_of_scope_or_unclear
RW_863	out_of_scope_or_unclear
RW_864	supported
RW_865	out_of_scope_or_unclear
RW_866	supported
RW_867	out_of_scope_or_unclear
RW_868	not_supported
RW_869	not_supported
RW_870	not_supported
RW_871	not_supported
RW_872	not_supported
RW_873	out_of_scope_or_unclear
RW_874	out_of_scope_or_unclear
RW_875	out_of_scope_or_unclear
RW_877	out_of_scope_or_unclear
RW_878	supported
RW_879	supported
RW_880	supported
RW_881	supported
RW_882	supported
RW_883	out_of_scope_or_unclear
RW_884	out_of_scope_or_unclear
RW_885	supported
RW_886	out_of_scope_or_unclear
RW_887	supported
RW_888	not_supported
RW_889	out_of_scope_or_unclear
RW_890	not_supported
RW_892	not_supported
RW_893	supported
RW_894	not_supported
RW_895	supported
RW_896	supported
RW_897	supported
RW_898	supported
RW_899	out_of_scope_or_unclear
RW_900	out_of_scope_or_unclear
RW_901	not_supported
RW_902	not_supported
RW_903	not_supported
RW_904	out_of_scope_or_unclear
RW_905	out_of_scope_or_unclear
RW_906	out_of_scope_or_unclear
RW_907	out_of_scope_or_unclear
RW_908	supported
RW_909	out_of_scope_or_unclear
RW_910	out_of_scope_or_unclear
RW_911	out_of_scope_or_unclear
RW_912	not_supported
RW_913	out_of_scope_or_unclear
RW_915	supported
RW_916	supported
RW_917	supported
RW_919	supported
RW_920	supported
RW_921	supported
RW_922	supported
RW_923	supported
RW_924	supported
RW_925	supported
RW_927	supported
RW_928	supported
RW_929	supported
RW_930	supported
RW_931	supported
RW_932	supported
RW_934	supported
RW_935	supported
RW_941	out_of_scope_or_unclear
RW_942	out_of_scope_or_unclear
RW_943	out_of_scope_or_unclear
RW_944	out_of_scope_or_unclear
RW_945	supported
RW_946	supported
RW_947	supported
RW_948	out_of_scope_or_unclear
RW_949	not_supported
RW_950	supported
RW_951	out_of_scope_or_unclear
RW_953	supported
RW_954	out_of_scope_or_unclear
RW_955	not_supported
RW_956	out_of_scope_or_unclear
RW_957	out_of_scope_or_unclear
RW_958	supported
RW_959	supported
RW_960	supported
RW_961	supported
RW_962	supported
RW_963	supported
RW_964	supported
RW_965	supported
RW_966	supported
RW_967	supported
RW_968	supported
RW_969	supported
RW_972	supported
RW_973	out_of_scope_or_unclear
RW_974	out_of_scope_or_unclear
RW_975	out_of_scope_or_unclear
RW_979	supported
RW_980	out_of_scope_or_unclear
RW_981	supported
RW_982	out_of_scope_or_unclear
RW_983	out_of_scope_or_unclear
RW_985	not_supported
RW_986	out_of_scope_or_unclear
RW_987	out_of_scope_or_unclear
RW_988	supported
RW_989	supported
RW_990	out_of_scope_or_unclear
RW_992	supported
RW_994	supported
RW_996	out_of_scope_or_unclear
RW_997	supported
RW_998	not_supported
RW_999	out_of_scope_or_unclear
RW_1000	supported
RW_1001	supported
RW_1002	out_of_scope_or_unclear
RW_1003	out_of_scope_or_unclear
RW_1004	not_supported
RW_1005	not_supported
RW_1006	out_of_scope_or_unclear
RW_1007	out_of_scope_or_unclear
RW_1008	not_supported
RW_1009	out_of_scope_or_unclear
RW_1010	supported
RW_1011	out_of_scope_or_unclear
RW_1012	supported
RW_1013	out_of_scope_or_unclear
RW_1014	supported
